순번,지역,업종,신고인원,과세표준,영세율과세표준,납부세액,환급세액,최종세액,규모분류
1,경남,광업,33.0,2310.0,-555974.0,140.0,3.0,137.0,대규모 (10조원 이상 추정 수정신고)
2,부산,제조업,25859.0,5421584.0,-516039.0,237027.0,31439.0,205588.0,대규모 (10조원 이상 추정 수정신고)
3,부산,광업,7.0,323.0,-411800.0,25.0,0.0,25.0,대규모 (10조원 이상 추정 수정신고)
4,대구,광업,3.0,-5003262.0,-352569.0,-203938.0,0.0,-203938.0,대규모 (10조원 이상 추정 수정신고)
5,경북,전기·가스·수도업,26897.0,309734.0,-182003.0,27754.0,20338.0,7416.0,대규모 (10조원 이상 추정 수정신고)
6,울산,광업,1.0,198.0,-95505.0,12.0,-5701.0,5713.0,중규모 (1조원 이상 추정 수정신고)
7,전북,광업,16.0,8127.0,-92289.0,456.0,3.0,453.0,중규모 (1조원 이상 추정 수정신고)
8,충남,광업,24.0,2050.0,-82594.0,72.0,20.0,52.0,중규모 (1조원 이상 추정 수정신고)
9,전남,광업,25.0,1113.0,-52541.0,68.0,44.0,24.0,중규모 (1조원 이상 추정 수정신고)
10,제주,숙박업,2647.0,144645.0,-36928.0,5937.0,1710.0,4227.0,중규모 (1조원 이상 추정 수정신고)
11,강원,광업,24.0,5990.0,-18999.0,275.0,29.0,246.0,중규모 (1조원 이상 추정 수정신고)
12,광주,광업,5.0,418.0,-16865.0,25.0,-4407.0,4432.0,중규모 (1조원 이상 추정 수정신고)
13,제주,광업,-2338.0,-207022.0,-13140.0,-8387.0,-1850.0,-6537.0,중규모 (1조원 이상 추정 수정신고)
14,경남,소매업,28682.0,4156168.0,-11264.0,52714.0,19548.0,33166.0,중규모 (1조원 이상 추정 수정신고)
15,부산,도매업,29794.0,5791757.0,-10600.0,136657.0,36673.0,99984.0,중규모 (1조원 이상 추정 수정신고)
16,경북,소매업,24168.0,3901015.0,-9338.0,45717.0,22689.0,23028.0,소규모 (1천억원 이상 추정 수정신고)
17,충남,소매업,22506.0,3380987.0,-8687.0,43259.0,19016.0,24243.0,소규모 (1천억원 이상 추정 수정신고)
18,강원,소매업,16715.0,2259749.0,-6842.0,28932.0,10136.0,18796.0,소규모 (1천억원 이상 추정 수정신고)
19,전남,소매업,15628.0,2205523.0,-6655.0,27173.0,13337.0,13836.0,소규모 (1천억원 이상 추정 수정신고)
20,전북,소매업,17962.0,2562684.0,-6382.0,34357.0,13931.0,20426.0,소규모 (1천억원 이상 추정 수정신고)
21,대구,소매업,24693.0,8531.0,-6189.0,640.0,12115.0,-11475.0,소규모 (1천억원 이상 추정 수정신고)
22,세종,광업,-973.0,-158906.0,-4642.0,-7230.0,-628.0,-6602.0,소규모 (1천억원 이상 추정 수정신고)
23,광주,음식업,14685.0,2096199.0,-4533.0,58171.0,254.0,57917.0,소규모 (1천억원 이상 추정 수정신고)
24,제주,소매업,313.0,2436.0,-3711.0,188.0,500.0,-312.0,소규모 (1천억원 이상 추정 수정신고)
25,울산,소매업,8857.0,1457197.0,-3006.0,16803.0,180.0,16623.0,소규모 (1천억원 이상 추정 수정신고)
26,전남,건설업,19430.0,1192234.0,-2536.0,72115.0,8640.0,63475.0,소규모 (1천억원 이상 추정 수정신고)
27,경북,건설업,27031.0,1879992.0,-1903.0,109223.0,12106.0,97117.0,소규모 (1천억원 이상 추정 수정신고)
28,광주,소매업,13048.0,1561173.0,-1173.0,21931.0,1417.0,20514.0,소규모 (1천억원 이상 추정 수정신고)
29,대구,건설업,17915.0,3092383.0,-1143.0,90907.0,7563.0,83344.0,소규모 (1천억원 이상 추정 수정신고)
30,강원,건설업,19800.0,1318303.0,-586.0,76103.0,9326.0,66777.0,경미 (1천억원 미만)
31,울산,건설업,8477.0,758278.0,-369.0,46318.0,1830.0,44488.0,경미 (1천억원 미만)
32,세종,소매업,176.0,2240.0,-106.0,209.0,109.0,100.0,경미 (1천억원 미만)
33,세종,건설업,3426.0,498584.0,-93.0,14468.0,770.0,13698.0,경미 (1천억원 미만)
34,광주,건설업,12715.0,933746.0,-70.0,56166.0,3032.0,53134.0,경미 (1천억원 미만)
