지역,납부세액_합계,환급세액_합계,최종세액_합계,전국대비_비중_PCT,순위
경기,4807127.0,821749.0,3985378.0,30.22,1
서울,3389181.0,516615.0,2872566.0,21.78,2
부산,1048974.0,164188.0,884786.0,6.71,3
경남,1041863.0,161538.0,880325.0,6.68,4
인천,938973.0,241898.0,697075.0,5.29,5
경북,783225.0,151933.0,631292.0,4.79,6
충남,640935.0,132801.0,508134.0,3.85,7
충북,481929.0,86820.0,395109.0,3.0,8
전북,436469.0,73006.0,363463.0,2.76,9
전남,419683.0,80008.0,339675.0,2.58,10
대전,380219.0,51309.0,328910.0,2.49,11
강원,392289.0,77496.0,314793.0,2.39,12
울산,345871.0,21747.0,283040.0,2.15,13
대구,354002.0,99932.0,261908.0,1.99,14
광주,348985.0,36093.0,261617.0,1.98,15
제주,163636.0,31426.0,132210.0,1.0,16
세종,57622.0,10473.0,47149.0,0.36,17
